dates,dpsNetEquity,netEquity,CAR25,dd95,ddTol,dpsCommission,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.0_system,RS_netEquity,safef,cycleTime,timestamp,v4.3_system,v4.5_system
2016-05-04 21:34:00,99985.54,99971.08,0.0,0.0,0.0,0.0,-12.46,both_sellHold DPS wl28.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-24.92,0.0,2.0,sellHold,0.0,,,0.0,95.7417333333,20160503 04:35:44 EDT,sellHold,
2016-05-04 21:36:00,99985.54,99971.08,0.0,0.0,0.0,0.0,-12.46,both_sellHold DPS wl28.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-24.92,0.0,2.0,sellHold,0.0,,,0.0,95.7417333333,20160503 04:35:44 EDT,sellHold,
2016-05-13 00:00:00,105745.32,105470.55,0.00517428794502,0.000122,0.00131876094679,0.0,282.05,both_zigZag_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,140.85,0.0,1.0,zigZag_VotingSoft,-1.0,,,1.0,5.00128333333,20160513 00:05:00 EDT,zigZag_VotingSoft_f19_is15,
2016-05-13 00:00:00,106185.25,105773.0,0.0171030388145,0.000101996700088,0.00131876094679,0.0,886.35,both_zigZag_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,443.3,0.0,1.0,zigZag_VotingSoft,-1.0,,,1.0,312.49795,20160513 05:12:29 EDT,zigZag_VotingSoft_f19_is15,
2016-05-13 00:00:00,106646.24,104631.06,0.0216678572775,9.9998200036e-05,0.00131876094679,0.0,1119.98,both_zigZag_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,552.31,0.0,1.0,zigZag_VotingSoft,-1.0,,,1.0,612.51215,20160513 10:12:30 EDT,zigZag_VotingSoft_f18_is11,
2016-05-13 00:00:00,106646.24,104631.06,0.0216678472879,9.0997800044e-05,0.00131876094679,0.0,1119.98,both_zigZag_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,552.31,0.0,1.0,zigZag_VotingSoft,-1.0,,,1.0,1022.35591667,20160513 17:02:21 EDT,zigZag_VotingSoft_f18_is11,
2016-05-13 00:00:00,104594.81,103844.47,0.021667852285,8e-05,0.00131876094679,0.0,1098.44,both_zigZag_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,548.16,0.0,1.0,zigZag_VotingSoft,-1.0,,,1.0,1099.10653333,20160513 18:19:06 EDT,zigZag_VotingSoft_f18_is11,
2016-05-13 00:00:00,106646.24,104631.06,0.0216678472879,7.99989200144e-05,0.00131876094679,0.0,1119.98,both_zigZag_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,552.31,0.0,1.0,zigZag_VotingSoft,-1.0,,,1.0,4.87,20160514 05:04:59 EDT,zigZag_VotingSoft_f18_is11,
2016-05-13 00:00:00,106646.24,104631.06,0.0217720473516,9.0997800044e-05,0.00131876094679,0.0,1119.98,both_zigZag_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,552.31,0.0,1.0,zigZag_VotingSoft,-1.0,,,1.0,4.03,20160514 17:04:06 EDT,zigZag_VotingSoft_f18_is11,
2016-05-13 00:00:00,106646.24,104631.06,0.0216678531174,0.000110998200036,0.00131876094679,0.0,1119.98,both_zigZag_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,552.31,0.0,1.0,zigZag_VotingSoft,-1.0,,,1.0,1.54,20160515 05:03:19 EDT,zigZag_VotingSoft_f18_is11,
2016-05-13 00:00:00,106646.24,104631.06,0.0216678493696,9.9998200036e-05,0.00131876094679,0.0,1119.98,both_zigZag_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,552.31,0.0,1.0,zigZag_VotingSoft,-1.0,,,1.0,1.81,20160515 17:01:54 EDT,zigZag_VotingSoft_f18_is11,
2016-05-16 04:00:00,,,,,,,,,,,,,,,,1.0,,,1.0,,20160516 01:55:09 ,,
2016-05-16 04:30:00,,,,,,,,,,,,,,,,-1.0,,,1.0,,20160516 02:01:44 ,,
2016-05-16 05:00:00,,,,,,,,,,,,,,,,-1.0,,,1.0,,20160516 02:31:41 ,,
2016-05-16 05:30:00,,,,,,,,,,,,,,,,1.0,,,1.0,,20160516 03:03:24 ,,
2016-05-16 05:30:00,,,,,,,,,,,,,,,,1.0,,,1.0,,20160516 03:05:52 ,,
2016-05-16 06:00:00,,,,,,,,,,,,,,,,1.0,,,1.0,,20160516 03:31:42 ,,
2016-05-16 06:30:00,,,,,,,,,,,,,,,,1.0,,,1.0,,20160516 04:01:40 ,,
2016-05-16 07:00:00,,,,,,,,,,,,,,,,-1.0,,,1.0,,20160516 04:32:00 ,,
2016-05-16 07:30:00,,,,,,,,,,,,,,,,1.0,,,1.0,,20160516 05:01:36 ,,
2016-05-16 08:00:00,,,,,,,,,,,,,,,,-1.0,,,1.0,,20160516 05:31:51 ,,
2016-05-16 08:30:00,,,,,,,,,,,,,,,,-1.0,,,1.0,,20160516 06:01:50 ,,
2016-05-16 09:00:00,,,,,,,,,,,,,,,,-1.0,,,1.0,,20160516 06:35:17 ,,
2016-05-16 09:30:00,,,,,,,,,,,,,,,,1.0,,,1.0,,20160516 07:01:34 ,,
2016-05-16 10:00:00,,,,,,,,,,,,,,,,-1.0,,,1.0,,20160516 07:31:54 ,,
2016-05-16 10:00:00,,,,,,,,,,,,,,,,0.0,,,0.0,,20160516 07:36:59 ,,
2016-05-16 10:00:00,,,,,,,,,,,,,,,,0.0,,,0.0,,20160516 07:37:00 ,,
2016-05-16 10:40:00,,,,,,,,,,,,,,,,0.0,,,0.0,,20160516 07:55:52 ,,
2016-05-16 10:40:00,,,,,,,,,,,,,,,,0.0,,,0.0,,20160516 07:55:53 ,,
2016-05-16 10:50:00,,,,,,,,,,,,,,,,0.0,,,0.0,,20160516 08:01:45 ,,
2016-05-16 10:50:00,,,,,,,,,,,,,,,,0.0,,,0.0,,20160516 08:01:45 ,,
2016-05-16 11:00:00,,,,,,,,,,,,,,,,1.0,,,1.0,,20160516 08:11:46 ,,
