dates,signals,safef
2016-03-22 11:15:00,1,1
2016-03-22 11:17:00,1,1
2016-03-22 11:18:00,1,1
2016-03-22 11:18:00,1,1
2016-03-22 11:18:00,1,1
2016-03-22 11:22:00,1,1
2016-03-22 11:24:00,1,1
2016-03-22 11:26:00,1,1
2016-03-22 11:27:00,1,1
2016-03-22 11:29:00,1,1
2016-03-22 11:29:00,1,1
2016-03-22 11:32:00,1,1
2016-03-22 11:33:00,1,1
2016-03-22 11:33:00,1,1
2016-03-22 11:33:00,1,1
2016-03-22 11:33:00,1,1
2016-03-22 11:39:00,1,1
2016-03-22 11:39:00,1,1
2016-03-22 11:43:00,1,1
2016-03-22 11:43:00,1,1
2016-03-22 11:45:00,1,1
2016-03-22 11:47:00,1,1
2016-03-22 11:49:00,1,1
2016-03-22 11:50:00,1,1
2016-03-22 11:51:00,1,1
2016-03-22 11:53:00,1,1
2016-03-22 11:55:00,1,1
2016-03-22 11:55:00,1,1
2016-03-22 11:55:00,1,1
2016-03-22 11:59:00,1,1
2016-03-22 12:04:00,1,1
2016-03-22 12:05:00,1,1
2016-03-22 12:05:00,1,1
2016-03-22 12:05:00,1,1
2016-03-22 12:08:00,1,1
2016-03-22 12:09:00,1,1
2016-03-22 12:10:00,1,1
2016-03-22 12:11:00,1,1
2016-03-22 12:11:00,1,1
2016-03-22 12:13:00,1,1
2016-03-22 12:14:00,1,1
2016-03-22 12:14:00,1,1
2016-03-22 12:16:00,1,1
2016-03-22 12:16:00,1,1
2016-03-22 12:19:00,1,1
2016-03-22 12:21:00,1,1
2016-03-22 12:21:00,1,1
2016-03-22 12:23:00,1,1
2016-03-22 12:23:00,1,1
2016-03-22 12:23:00,1,1
2016-03-22 12:23:00,1,1
2016-03-22 12:29:00,1,1
2016-03-22 12:31:00,1,1
2016-03-22 12:32:00,1,1
2016-03-22 12:35:00,1,1
2016-03-22 12:35:00,1,1
2016-03-22 12:37:00,1,1
2016-03-22 12:39:00,1,1
2016-03-22 12:39:00,1,1
2016-03-22 12:41:00,1,1
2016-03-22 12:41:00,1,1
2016-03-22 12:45:00,1,1
2016-03-22 12:45:00,1,1
2016-03-22 12:48:00,1,1
2016-03-22 12:49:00,1,1
2016-03-22 12:51:00,1,1
2016-03-22 12:52:00,1,1
2016-03-22 12:54:00,1,1
2016-03-22 12:54:00,1,1
2016-03-22 12:57:00,1,1
2016-03-22 12:59:00,1,1
2016-03-22 12:59:00,1,1
2016-03-22 13:02:00,1,1
2016-03-22 13:02:00,1,1
2016-03-22 13:02:00,1,1
2016-03-22 13:06:00,1,1
2016-03-22 13:07:00,1,1
2016-03-22 13:07:00,1,1
2016-03-22 13:11:00,1,1
2016-03-22 13:12:00,1,1
2016-03-22 13:13:00,1,1
2016-03-22 13:13:00,1,1
2016-03-22 13:13:00,1,1
2016-03-22 13:13:00,1,1
2016-03-22 13:20:00,1,1
2016-03-22 13:20:00,1,1
2016-03-22 13:20:00,1,1
2016-03-22 13:20:00,1,1
2016-03-22 13:27:00,1,1
2016-03-22 13:27:00,1,1
2016-03-22 13:29:00,1,1
2016-03-22 13:31:00,1,1
2016-03-22 13:32:00,1,1
2016-03-22 13:32:00,1,1
2016-03-22 13:35:00,1,1
2016-03-22 13:37:00,1,1
2016-03-22 13:37:00,1,1
2016-03-22 13:37:00,1,1
2016-03-22 13:42:00,1,1
2016-03-22 13:43:00,1,1
2016-03-22 13:44:00,1,1
2016-03-22 13:45:00,1,1
2016-03-22 13:47:00,1,1
2016-03-22 13:48:00,1,1
2016-03-22 13:51:00,1,1
2016-03-22 13:52:00,1,1
2016-03-22 13:53:00,1,1
2016-03-22 13:53:00,1,1
2016-03-22 13:56:00,1,1
2016-03-22 13:58:00,1,1
2016-03-22 13:58:00,1,1
2016-03-22 14:02:00,1,1
2016-03-22 14:02:00,1,1
2016-03-22 14:02:00,1,1
2016-03-22 14:06:00,1,1
2016-03-22 14:08:00,1,1
2016-03-22 14:08:00,1,1
2016-03-22 14:08:00,1,1
2016-03-22 14:12:00,1,1
2016-03-22 14:13:00,1,1
2016-03-22 14:14:00,1,1
2016-03-22 14:16:00,1,1
2016-03-22 14:16:00,1,1
2016-03-22 14:19:00,1,1
2016-03-22 14:19:00,1,1
2016-03-22 14:19:00,1,1
2016-03-22 14:24:00,1,1
2016-03-22 14:24:00,1,1
2016-03-22 14:24:00,1,1
2016-03-22 14:29:00,1,1
2016-03-22 14:30:00,1,1
2016-03-22 14:30:00,1,1
2016-03-22 14:34:00,1,1
