dates,dpsNetEquity,netEquity,CAR25,dd95,ddTol,dpsCommission,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.3_system,safef,cycleTime,timestamp,RS_netEquity,v4.4_system,mrThreshold
2016-06-30 00:00:00,103388.48,102515.07,-0.00608393899401,0.0,0.00186500961648,0.0,171.24,both_zigZag_VotingSoft DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,169.79,0.0,1.0,zigZag_VotingSoft,1.0,,1.0,1277.8364,20160630 21:17:50 EDT,,zigZag_VotingSoft_f102_is37,
2016-06-30 00:00:00,96994.4,96992.46,-0.021389746566,0.0,0.00186500961648,0.0,-161.18,both_zigZag_GNBayes DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,-161.18,0.0,1.0,zigZag_GNBayes,-1.0,,1.0,1367.93411667,20160630 22:47:56 EDT,,zigZag_GNBayes_f86_is5,
2016-06-30 00:00:00,102707.38,102515.07,-0.0014017039768,0.0,0.00186500961648,0.0,170.11,both_zigZag_VotingSoft DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,169.79,0.0,1.0,zigZag_VotingSoft,1.0,,1.0,,20160701 00:21:50 EDT,,zigZag_VotingSoft_f102_is37,1.0
2016-06-30 00:00:00,96994.4,96992.46,-0.0213687259873,0.0,0.00186500961648,0.0,-161.18,both_zigZag_GNBayes DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,-161.18,0.0,1.0,zigZag_GNBayes,-1.0,,1.0,,20160701 00:22:01 EDT,,zigZag_GNBayes_f86_is5,0.5
2016-06-30 00:00:00,96994.4,96992.46,-0.0213687259873,0.0,0.00186500961648,0.0,-161.18,both_zigZag_GNBayes DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,-161.18,0.0,1.0,zigZag_GNBayes,-1.0,,1.0,,20160701 00:22:36 EDT,,zigZag_GNBayes_f86_is5,0.75
2016-07-01 00:00:00,103175.62,102984.5,0.0101751980355,0.00275229189321,0.00208514414057,2.06355377081,468.24,both_zigZag_VotingSoft DPS wl5.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,469.43,0.0,1.0,zigZag_VotingSoft,1.0,,1.0,,20160701 20:55:29 EDT,,zigZag_VotingSoft_f102_is37,1.0
2016-07-01 00:00:00,96550.25,96548.32,-0.00730229827469,0.0,0.00208514414057,0.0,-444.15,both_zigZag_GNBayes DPS wl5.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,-444.14,0.0,1.0,zigZag_GNBayes,-1.0,,1.0,,20160701 20:55:32 EDT,,zigZag_GNBayes_f86_is6,0.5
2016-07-01 00:00:00,96550.25,96548.32,-0.00730229827469,0.0,0.00208514414057,0.0,-444.15,both_zigZag_GNBayes DPS wl5.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,-444.14,0.0,1.0,zigZag_GNBayes,-1.0,,1.0,,20160701 20:55:36 EDT,,zigZag_GNBayes_f86_is6,0.75
2016-07-01 00:00:00,103645.93,102984.5,0.014659429596,0.00223753356638,0.00208514414057,0.0,940.6,both_zigZag_VotingSoft DPS wl5.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,469.43,0.0,1.0,zigZag_VotingSoft,1.0,,1.0,,20160704 20:30:37 EDT,,zigZag_VotingSoft_f102_is37,1.0
2016-07-01 00:00:00,96550.25,96548.32,-0.00752610324122,0.0,0.00208514414057,0.0,-444.15,both_zigZag_GNBayes DPS wl5.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,-444.14,0.0,1.0,zigZag_GNBayes,-1.0,,1.0,,20160704 20:33:33 EDT,,zigZag_GNBayes_f86_is6,0.5
2016-07-01 00:00:00,96550.25,96548.32,-0.00752610324122,0.0,0.00208514414057,0.0,-444.15,both_zigZag_GNBayes DPS wl5.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,-444.14,0.0,1.0,zigZag_GNBayes,-1.0,,1.0,,20160704 20:33:48 EDT,,zigZag_GNBayes_f86_is6,0.75
