,price_diff,profit,total,returns,accuracy,equity
2016-05-31 06:00:00,1.25,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 06:30:00,0.5,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 07:00:00,-2.0,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 07:30:00,0.5,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 08:00:00,1.25,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 08:30:00,-1.25,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 09:00:00,-0.5,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 09:30:00,-2.75,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 10:00:00,-3.0,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 10:30:00,-2.75,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 11:00:00,0.0,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 11:30:00,-2.5,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 12:00:00,2.5,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 12:30:00,-0.75,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 13:00:00,-1.25,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 13:30:00,-1.0,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 14:00:00,-2.75,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 14:30:00,4.25,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 15:00:00,1.5,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 15:30:00,-0.5,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 16:00:00,0.25,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 16:30:00,1.5,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 17:00:00,3.0,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 17:30:00,-2.75,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 18:00:00,-2.25,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 18:30:00,-2.5,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 19:00:00,-4.0,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 19:30:00,1.0,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 20:00:00,8.0,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 20:30:00,-3.0,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 21:00:00,-9.0,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 21:30:00,-4.75,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 22:00:00,6.25,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 22:30:00,13.75,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 23:00:00,3.5,0.0,27450.0,0.0,0.980879934704,27450.0
2016-05-31 23:30:00,-1.0,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 01:00:00,2.0,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 01:30:00,-0.25,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 02:00:00,0.75,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 02:30:00,-1.0,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 03:00:00,0.5,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 03:30:00,-0.25,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 04:00:00,-0.25,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 04:30:00,6.0,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 05:00:00,5.25,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 05:30:00,-2.25,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 06:00:00,0.75,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 06:30:00,-3.25,-0.0,27450.0,0.0,0.980879934704,27450.0
