,signals,gainAhead,safef,trade,numBars,equity,maxEquity,drawdown,maxDD
2016-03-24 01:23:00,-1.0,-4.32617639554e-06,2.1124399971,0.000292988775935,175.0,1.00230405595,1.00230405595,0.0,0.00124693264815
2016-03-24 01:24:00,-1.0,0.000190352584902,2.1124399971,9.15984433146e-06,176.0,1.0023132158,1.0023132158,0.0,0.00124693264815
2016-03-24 01:25:00,-1.0,-8.65074353145e-06,2.1124399971,-0.000403038577433,177.0,1.00191017722,1.0023132158,0.000402108413898,0.00124693264815
2016-03-24 01:26:00,-1.0,-0.000147063912246,2.1124399971,1.83090835564e-05,178.0,1.0019284863,1.0023132158,0.000383841585457,0.00124693264815
2016-03-24 01:27:00,-1.0,0.000103825089333,2.1124399971,0.000311262801031,179.0,1.0022397491,1.0023132158,7.32971407418e-05,0.00124693264815
2016-03-24 01:28:00,-1.0,0.000108139907086,2.1124399971,-0.00021981550275,180.0,1.0020199336,1.0023132158,0.000292605336309,0.00124693264815
2016-03-24 01:29:00,-1.0,-0.000125428728369,2.1124399971,-0.000228900496755,181.0,1.0017910331,1.0023132158,0.000520977558831,0.00124693264815
2016-03-24 01:30:00,-1.0,6.48850669182e-05,2.1124399971,0.00026543521591,182.0,1.00205646832,1.0023132158,0.000256154934798,0.00124693264815
2016-03-24 01:31:00,-1.0,3.89285142716e-05,2.1124399971,-0.00013734768207,183.0,1.00191912064,1.0023132158,0.000393185635287,0.00124693264815
2016-03-24 01:32:00,-1.0,6.05531094021e-05,2.1124399971,-8.23919678305e-05,184.0,1.00183672867,1.0023132158,0.000475387452575,0.00124693264815
2016-03-24 01:33:00,-1.0,0.000172998408415,0.0,-0.000128149755049,185.0,1.00170857892,1.0023132158,0.000603241453729,0.00124693264815
2016-03-24 01:34:00,-1.0,-0.000311343273255,0.0,-0.0,186.0,1.00170857892,1.0023132158,0.000603241453729,0.00124693264815
2016-03-24 01:35:00,-1.0,4.75811474841e-05,0.0,0.0,187.0,1.00170857892,1.0023132158,0.000603241453729,0.00124693264815
2016-03-24 01:36:00,-1.0,-9.51577672527e-05,0.0,-0.0,188.0,1.00170857892,1.0023132158,0.000603241453729,0.00124693264815
2016-03-24 01:37:00,-1.0,-3.46061174965e-05,0.0,0.0,189.0,1.00170857892,1.0023132158,0.000603241453729,0.00124693264815
2016-03-24 01:38:00,-1.0,0.000108147859754,0.0,0.0,190.0,1.00170857892,1.0023132158,0.000603241453729,0.00124693264815
2016-03-24 01:39:00,-1.0,-9.08343786495e-05,0.0,-0.0,191.0,1.00170857892,1.0023132158,0.000603241453729,0.00124693264815
2016-03-24 01:40:00,-1.0,8.65167907453e-06,0.0,0.0,192.0,1.00170857892,1.0023132158,0.000603241453729,0.00124693264815
2016-03-24 01:41:00,-1.0,9.08418443491e-05,0.0,-0.0,193.0,1.00170857892,1.0023132158,0.000603241453729,0.00124693264815
2016-03-24 01:42:00,-1.0,1.29762275511e-05,0.0,-0.0,194.0,1.00170857892,1.0023132158,0.000603241453729,0.00124693264815
2016-03-24 01:43:00,-1.0,4.75788836264e-05,0.0,-0.0,195.0,1.00170857892,1.0023132158,0.000603241453729,0.00124693264815
2016-03-24 01:44:00,-1.0,3.89263254414e-05,0.0,-0.0,196.0,1.00170857892,1.0023132158,0.000603241453729,0.00124693264815
2016-03-24 01:45:00,-1.0,0.0,0.0,-0.0,197.0,1.00170857892,1.0023132158,0.000603241453729,0.00124693264815
2016-03-24 01:46:00,-1.0,-4.32497891563e-06,0.0,-0.0,198.0,1.00170857892,1.0023132158,0.000603241453729,0.00124693264815
2016-03-24 01:47:00,-1.0,0.0,0.0,0.0,199.0,1.00170857892,1.0023132158,0.000603241453729,0.00124693264815
2016-03-24 01:48:00,-1.0,0.000307074831109,0.0,-0.0,200.0,1.00170857892,1.0023132158,0.000603241453729,0.00124693264815
