permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,balance,margin_available
75,Paper,Paper,2.0,USD,IDEALPRO,75.0,,,1.0,113.681,50000.0,25000.0,40.387708,BOT,USD,JPY,20160316 13:39:22 EST,,9937.79085488,3308586.8942
76,Paper,Paper,2.0,USD,IDEALPRO,76.0,,,1.0,1.10668,50000.0,25000.0,36.6332615,BOT,EUR,USD,20160316 13:40:07 EST,,9974.42411638,3363920.8942
77,Paper,Paper,2.0,USD,IDEALPRO,77.0,,,1.0,1.33611,50000.0,25000.0,-74.926960817,BOT,USD,CAD,20160316 13:40:14 EST,,9899.49715556,3413851.3249
78,Paper,Paper,2.0,USD,IDEALPRO,78.0,,,1.0,113.681,50000.0,-25000.0,-47.51590252,SLD,USD,JPY,20160316 13:41:18 EST,,9851.98125304,3463916.4808
79,Paper,Paper,2.0,USD,IDEALPRO,79.0,,,1.0,1.10668,50000.0,-25000.0,-67.877754,SLD,EUR,USD,20160316 13:43:14 EST,,9784.10349904,3519316.35855
80,Paper,Paper,2.0,USD,IDEALPRO,80.0,,,1.0,1.33611,50000.0,-25000.0,75.8726534811,SLD,USD,CAD,20160316 13:43:22 EST,,9859.97615252,3569168.9166
81,Paper,Paper,2.0,USD,IDEALPRO,81.0,,,1.0,113.681,50000.0,25000.0,26.95863432,BOT,USD,JPY,20160316 13:43:32 EST,,9886.93478684,3619188.5566
82,Paper,Paper,2.0,USD,IDEALPRO,82.0,,,1.0,1.10668,50000.0,25000.0,80.2925845,BOT,EUR,USD,20160316 13:44:15 EST,,9967.22737134,3674522.5566
83,Paper,Paper,2.0,USD,IDEALPRO,83.0,,,1.0,1.33611,50000.0,25000.0,-75.2928844937,BOT,USD,CAD,20160316 13:44:23 EST,,9891.93448685,3724452.9873
84,Paper,Paper,2.0,USD,IDEALPRO,84.0,,,1.0,0.98959,50000.0,25000.0,-61.6731593423,BOT,USD,CHF,20160316 13:44:30 EST,,9830.26132751,3774536.1372
85,Paper,Paper,2.0,USD,IDEALPRO,85.0,,,1.0,113.681,50000.0,-25000.0,-13.11954492,SLD,USD,JPY,20160316 13:44:35 EST,,9817.14178259,3824566.89674
86,Paper,Paper,2.0,USD,IDEALPRO,86.0,,,1.0,1.10668,50000.0,-25000.0,-85.097528,SLD,EUR,USD,20160316 13:45:14 EST,,9732.04425459,3879983.99427
87,Paper,Paper,2.0,USD,IDEALPRO,87.0,,,1.0,113.681,50000.0,25000.0,5.81318164,BOT,USD,JPY,20160316 13:45:33 EST,,9737.85743623,3930003.63427
88,Paper,Paper,2.0,USD,IDEALPRO,88.0,,,1.0,1.10668,50000.0,25000.0,75.0325095,BOT,EUR,USD,20160316 13:46:12 EST,,9812.88994573,3985337.63427
89,Paper,Paper,2.0,USD,IDEALPRO,89.0,,,1.0,1.33611,50000.0,-25000.0,71.2610949558,SLD,USD,CAD,20160316 13:46:22 EST,,9884.15104069,4035194.80388
90,Paper,Paper,2.0,USD,IDEALPRO,90.0,,,1.0,113.681,50000.0,-25000.0,-11.64439388,SLD,USD,JPY,20160316 13:46:31 EST,,9872.50664681,4085224.08827
91,Paper,Paper,2.0,USD,IDEALPRO,91.0,,,1.0,113.681,50000.0,25000.0,-0.838535519993,BOT,USD,JPY,20160316 13:47:32 EST,,9871.66811129,4135243.72827
92,Paper,Paper,2.0,USD,IDEALPRO,92.0,,,1.0,113.681,50000.0,-25000.0,2.01284531999,SLD,USD,JPY,20160316 13:48:32 EST,,9873.68095661,4185259.35542
93,Paper,Paper,2.0,USD,IDEALPRO,93.0,,,1.0,1.10668,50000.0,-25000.0,-86.0108365,SLD,EUR,USD,20160316 13:49:12 EST,,9787.67012011,4240677.36626
94,Paper,Paper,2.0,USD,IDEALPRO,94.0,,,1.0,1.33611,50000.0,25000.0,-78.2400983186,BOT,USD,CAD,20160316 13:49:19 EST,,9709.43002179,4290607.79696
95,Paper,Paper,2.0,USD,IDEALPRO,95.0,,,1.0,0.98959,50000.0,-25000.0,70.5254530972,SLD,USD,CHF,20160316 13:49:25 EST,,9779.95547489,4340618.42141
96,Paper,Paper,2.0,USD,IDEALPRO,96.0,,,1.0,113.681,50000.0,25000.0,-13.31094844,BOT,USD,JPY,20160316 13:49:28 EST,,9766.64452645,4390638.06141
97,Paper,Paper,2.0,USD,IDEALPRO,97.0,,,1.0,1.10668,50000.0,25000.0,84.670279,BOT,EUR,USD,20160316 13:50:12 EST,,9851.31480545,4445972.06141
98,Paper,Paper,2.0,USD,IDEALPRO,98.0,,,1.0,1.33611,50000.0,-25000.0,71.7452326483,SLD,USD,CAD,20160316 13:50:22 EST,,9923.0600381,4495828.74688
99,Paper,Paper,2.0,USD,IDEALPRO,99.0,,,1.0,0.98959,50000.0,25000.0,-71.3867510155,BOT,USD,CHF,20160316 13:50:28 EST,,9851.67328708,4545911.89678
