permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,openprice,purebalance,real_pnl
269,Paper,Paper,2.0,USD,IDEALPRO,269.0,,,1.0,158.595,20000.0,-10000.0,-14.232,SLD,GBP,JPY,20160323 14:47:52 EST,,-12.232,19185.3436,251501.29609,158.595,19723.3436,-14.232
270,Paper,Paper,2.0,USD,IDEALPRO,270.0,,,1.0,84.63,20000.0,-10000.0,-19.6,SLD,AUD,JPY,20160323 14:48:24 EST,,-17.6,19165.7436,251501.29609,84.63,19705.7436,-19.6
271,Paper,Paper,2.0,USD,IDEALPRO,271.0,,,1.0,1.11826,20000.0,10000.0,-4.1,BOT,EUR,USD,20160323 14:58:05 EST,,-2.1,19161.6436,251501.29609,1.11826,19703.6436,-4.1
272,Paper,Paper,2.0,USD,IDEALPRO,272.0,,,1.0,1.41159,20000.0,-10000.0,-1.9,SLD,GBP,USD,20160323 14:58:05 EST,,0.100000000001,19159.7436,251501.29609,1.41159,19703.7436,-1.9
273,Paper,Paper,2.0,USD,IDEALPRO,273.0,,,1.0,0.97496,20000.0,10000.0,2.5549,BOT,USD,CHF,20160323 15:03:15 EST,,4.5549,19162.2985,251501.29609,0.97496,19708.2985,2.5549
274,Paper,Paper,2.0,USD,IDEALPRO,274.0,,,1.0,0.79224,20000.0,-10000.0,-8.06515,SLD,EUR,GBP,20160323 15:08:26 EST,,-6.06515,19154.23335,251501.29609,0.79224,19702.23335,-8.06515
275,Paper,Paper,2.0,USD,IDEALPRO,275.0,,,1.0,85.037,20000.0,-10000.0,-26.376,SLD,CAD,JPY,20160323 15:13:37 EST,,-24.376,19127.85735,251501.29609,85.037,19677.85735,-26.376
276,Paper,Paper,2.0,USD,IDEALPRO,276.0,,,1.0,115.287,20000.0,10000.0,-2.616,BOT,CHF,JPY,20160323 15:13:38 EST,,-0.616,19125.24135,251501.29609,115.287,19677.24135,-2.616
277,Paper,Paper,2.0,USD,IDEALPRO,277.0,,,1.0,1.11824,20000.0,-10000.0,-2.2,SLD,EUR,USD,20160323 15:23:56 EST,,-0.200000000001,19123.04135,251501.29609,1.11824,19677.04135,-2.2
278,Paper,Paper,2.0,USD,IDEALPRO,278.0,,,1.0,0.75235,20000.0,-10000.0,-19.8,SLD,AUD,USD,20160323 15:24:02 EST,,-17.8,19103.24135,251501.29609,0.75235,19659.24135,-19.8
279,Paper,Paper,2.0,USD,IDEALPRO,279.0,,,1.0,0.97474,20000.0,-10000.0,-4.22684,SLD,USD,CHF,20160323 15:29:12 EST,,-2.22684,19099.01451,251501.29609,0.97474,19657.01451,-4.22684
280,Paper,Paper,2.0,USD,IDEALPRO,280.0,,,1.0,0.67085,20000.0,10000.0,1.2,BOT,NZD,USD,20160323 15:29:47 EST,,3.2,19100.21451,251501.29609,0.67085,19660.21451,1.2
281,Paper,Paper,2.0,USD,IDEALPRO,281.0,,,1.0,75.436,20000.0,-10000.0,-6.928,SLD,NZD,JPY,20160323 15:34:24 EST,,-4.928,19093.28651,251501.29609,75.436,19655.28651,-6.928
282,Paper,Paper,2.0,USD,IDEALPRO,282.0,,,1.0,1.08997,20000.0,-10000.0,-10.90736,SLD,EUR,CHF,20160323 15:34:55 EST,,-8.90736,19082.37915,251501.29609,1.08997,19646.37915,-10.90736
283,Paper,Paper,2.0,USD,IDEALPRO,283.0,,,1.0,115.326,20000.0,-10000.0,1.432,SLD,CHF,JPY,20160323 15:39:29 EST,,3.432,19083.81115,251501.29609,115.326,19649.81115,1.432
284,Paper,Paper,2.0,USD,IDEALPRO,284.0,,,1.0,1.11789,20000.0,10000.0,1.5,BOT,EUR,USD,20160323 15:49:43 EST,,3.5,19085.31115,251501.29609,1.11789,19653.31115,1.5
285,Paper,Paper,2.0,USD,IDEALPRO,285.0,,,1.0,1.41119,20000.0,10000.0,2.0,BOT,GBP,USD,20160323 15:49:48 EST,,4.0,19087.31115,251501.29609,1.41119,19657.31115,2.0
286,Paper,Paper,2.0,USD,IDEALPRO,286.0,,,1.0,1.08983,20000.0,10000.0,-0.58292,BOT,EUR,CHF,20160323 15:55:34 EST,,1.41708,19086.72823,251501.29609,1.08983,19658.72823,-0.58292
